Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
3/23/2020,291,3,107,4,46,56,53,56,30,35,11,0,141,150,0,38,13,135,74,11,20,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,5,16,13,18,18,26,10,0,51,55,1,17,5,67,12,5,1
10/7/2020,527,1,36,58,158,108,84,60,33,17,9,0,258,267,2,195,7,64,128,16,117,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,8,6,7,2,6,0,18,18,0,8,0,9,13,1,5
4/13/2020,692,33,153,10,99,115,127,161,89,53,38,0,352,335,5,237,25,211,93,31,95,0,0,1,5,3,8,7,9,0,15,18,0,11,2,17,3,0,0,1,5,11,11,41,28,28,28,0,66,87,0,36,6,69,27,12,3
10/15/2020,854,2,51,80,256,196,111,102,67,28,14,0,435,418,1,338,17,102,190,30,177,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,2,9,6,7,10,8,8,0,27,24,0,10,1,21,13,3,3
6/10/2020,234,12,32,10,57,46,32,36,26,18,9,0,129,101,4,99,3,45,31,7,49,0,0,1,2,2,1,4,2,0,5,7,0,5,1,6,0,0,0,0,1,4,2,8,4,6,7,0,19,13,0,7,1,17,6,1,0
12/2/2020,"1,957",27,83,213,482,390,298,289,166,72,47,0,"1,008",945,4,651,58,276,286,74,612,0,1,0,0,6,3,6,11,0,13,14,0,11,2,8,3,3,0,0,4,6,11,9,12,18,23,0,42,41,0,16,0,32,26,4,5
11/9/2020,"3,100",14,143,379,795,586,507,413,247,110,63,0,"1,566","1,517",17,"1,106",64,366,582,140,842,0,0,0,0,1,4,7,2,0,5,9,0,7,0,0,7,0,0,1,5,16,13,27,32,32,17,0,75,68,0,40,5,52,29,5,12
10/31/2020,"1,026",10,83,131,257,211,167,126,84,39,10,1,518,506,2,308,29,137,209,59,284,0,0,1,0,2,1,5,1,0,2,8,0,4,1,2,3,0,0,2,7,5,13,13,22,14,6,1,42,41,0,20,3,35,15,4,6
4/1/2020,459,24,183,3,56,69,87,84,90,41,29,0,236,205,18,98,19,221,62,16,43,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1,1,4,13,26,40,43,31,25,0,77,101,5,39,5,101,26,8,4
6/9/2020,254,23,36,19,49,34,46,44,38,14,10,0,114,136,4,110,3,38,36,12,55,0,0,0,2,6,5,4,6,0,7,16,0,11,0,10,2,0,0,0,1,1,7,5,6,6,10,0,15,21,0,9,0,18,7,2,0
